ticker	name	name_en
088980	맥쿼리인프라	Macquarie Korea Infrastructure Fund
ADBE	Adobe Inc.
AMD	Advanced Micro Devices
ABNB	Airbnb
ALNY	Alnylam Pharmaceuticals
GOOGL	Alphabet Inc. (Class A)
GOOG	Alphabet Inc. (Class C)
AMZN	Amazon
AEP	American Electric Power
AMGN	Amgen
ADI	Analog Devices
AAPL	Apple Inc.
AMAT	Applied Materials
APP	AppLovin
ARM	Arm Holdings
ASML	ASML Holding
ALAB	Astera Labs
ADSK	Autodesk
ADP	Automatic Data Processing
AXON	Axon Enterprise
BKR	Baker Hughes
BKNG	Booking Holdings
AVGO	Broadcom
CDNS	Cadence Design Systems
CTAS	Cintas
CSCO	Cisco
CCEP	Coca-Cola Europacific Partners
CMCSA	Comcast
CEG	Constellation Energy
CPRT	Copart
CRWV	CoreWeave
COST	Costco
CRWD	CrowdStrike
CSX	CSX Corporation
DDOG	Datadog
DXCM	DexCom
FANG	Diamondback Energy
DASH	DoorDash
EXC	Exelon
FAST	Fastenal
FER	Ferrovial
FTNT	Fortinet
GEHC	GE HealthCare
GILD	Gilead Sciences
HONA	Honeywell Aerospace
HON	Honeywell Technologies
IDXX	Idexx Laboratories
INTC	Intel
INTU	Intuit
ISRG	Intuitive Surgical
KDP	Keurig Dr Pepper
KLAC	KLA Corporation
KHC	Kraft Heinz
LRCX	Lam Research
LIN	Linde plc
LITE	Lumentum
MAR	Marriott International
MRVL	Marvell Technology
MELI	Mercado Libre
META	Meta Platforms
MCHP	Microchip Technology
MU	Micron Technology
MSFT	Microsoft
MSTR	MicroStrategy
MDLZ	Mondelez International
MPWR	Monolithic Power Systems
MNST	Monster Beverage
NBIS	Nebius Group
NFLX	Netflix, Inc.
NVDA	Nvidia
NXPI	NXP Semiconductors
ORLY	O'Reilly Automotive
ODFL	Old Dominion Freight Line
PCAR	Paccar
PLTR	Palantir Technologies
PANW	Palo Alto Networks
PAYX	Paychex
PYPL	PayPal
PDD	PDD Holdings
PEP	PepsiCo
QCOM	Qualcomm
REGN	Regeneron Pharmaceuticals
RKLB	Rocket Lab
ROP	Roper Technologies
ROST	Ross Stores
SNDK	Sandisk
STX	Seagate Technology
SHOP	Shopify
SPCX	SpaceX
SBUX	Starbucks
SNPS	Synopsys
TMUS	T-Mobile US
TTWO	Take-Two Interactive
TER	Teradyne
TSLA	Tesla, Inc.
TXN	Texas Instruments
TRI	Thomson Reuters
VRTX	Vertex Pharmaceuticals
WMT	Walmart
WBD	Warner Bros. Discovery
WDC	Western Digital
WDAY	Workday, Inc.
XEL	Xcel Energy
